0.002,10
0.002,11
0.002,12
0.002,13
0.002,15
0.002,17
0.002,19
0.002,22
0.002,24
0.002,25
0.001,27
0.002,29
0.002,31
0.002,33
0.002,35
0.002,33
0.002,41
0.002,43
0.002,44
0.002,47
0.001,49
0.001,50
0.002,53
0.002,55
0.001,58
0.002,60
0.002,53
0.002,64
0.002,64
0.002,68
0.002,70
0.002,71
0.002,74
0.002,74
0.002,72
0.002,80
0.002,80
0.002,84
0.002,85
0.002,87
0.002,84
0.002,90
0.002,92
0.002,94
0.002,96
3.811,19
3.101,18
2.703,19
2.477,16
2.477,17
2.487,13
2.513,20
2.580,21
2.670,23
2.743,24
2.965,25
3.143,30
3.242,31
3.494,32
3.838,34
4.217,36
4.508,40
4.565,42
4.613,43
4.640,47
4.693,49
4.728,51
4.756,53
4.776,55
4.789,57
4.803,59
4.817,61
4.834,63
4.847,65
4.854,68
4.871,69
4.883,64
4.897,73
4.909,75
4.921,77
4.935,79
4.947,80
4.960,81
4.974,85
4.990,87
4.995,90
5.047,91
5.071,93
5.090,95
5.108,91
1.407,9
1.577,3
1.631,11
1.767,14
1.851,16
1.957,17
2.130,20
2.246,22
2.311,21
2.386,24
2.837,24
2.922,27
2.984,32
3.101,31
3.460,34
3.780,36
4.156,38
4.453,43
4.506,45
4.558,47
4.589,48
4.637,51
4.678,53
4.715,55
4.736,58
4.754,60
4.765,60
4.781,63
4.799,65
4.811,67
4.822,68
4.838,68
4.854,74
4.869,71
4.877,76
4.890,78
4.903,80
4.918,84
4.934,86
4.944,86
4.955,89
4.969,92
5.022,93
5.039,95
5.052,98
1.543,7
1.732,11
1.832,12
1.928,14
2.009,16
2.160,18
2.341,15
2.431,22
2.601,23
2.680,23
2.819,28
2.956,30
3.103,32
3.321,33
3.665,34
4.048,36
4.402,41
4.496,43
4.547,47
4.597,49
4.631,50
4.645,52
4.678,49
4.702,56
4.719,58
4.728,57
4.749,55
4.764,57
4.785,67
4.803,69
4.811,66
4.825,71
4.837,74
4.856,76
4.880,78
4.899,81
4.905,83
4.919,84
4.932,84
4.946,86
4.954,90
4.989,92
4.994,92
5.010,97
5.029,99
7.771,27
7.772,26
7.771,31
7.771,23
